text,label
空间真的没的说座椅长度够长途坐车不辛苦续航正常三元锂电池没啥好说的我一直家充智能化能满足实际需求但是车机升级慢最不满意就是怕停产,0
试驾的时候有NDA智驾提车了告诉我只有北上广深苏州有这是纯纯的诈骗,0
车子操控很好车机升级后也蛮好用主要是支持无线CARPLAY续航市区450500高速120140时速的话350100120时速的话400以上市区开的猛400温柔点450550,2
外观还不错内饰简洁但不失运动感悬架调校偏家用很软整体支撑性一般变速箱调教很一般换挡顿挫降档不积极变速箱无法准确判断我此刻是要加油还是干什么,0
讲讲极氪009本身吧从产品力上它是如何塑造豪华的公路坦氪安全是第一位其实已经讲很多了简单讲讲今晚的几个重点吧1前后夹击公路上最怕的不是追尾而是连环追尾特别是在隧道里一来就是几十台撞了前面的车本身已经进入了残骸状态结果后面又来一次二次冲击怕不怕都说电影里的剧情来自于生活场景过去一年里好几个品牌都发布过车主摔下悬崖所幸无碍的新闻前后夹击看起来超常规但实际上比起落入悬崖还是要常规得多极氪作为业内唯一做这项测试的品牌在009设计初期就做好了产品定义我觉得是公路坦氪的内核来源了特别是看到这个测试里特地在第三排放了两个小朋友的假人时我真心觉得思考很到位每一个家长最放心不下的就是这个2隐私安全其实光辉版发布的时候隐私玻璃啦保险箱啦已经很有意思了贴膜的时候暗了嫌看不清外面的亮了又觉得不想被外面看见又或者什么贵重物品放车上又觉得不放心009都提供了解决方案但今晚又多了两件有意思的事情一个是一键删除隐私这是我每次借用试驾车时最大的苦恼之一我是不是退出账号了是不是删除导航记录了还有什么账号没退出009这个功能尽管小但非常方便另一个是是隐私音盾后排说话的时候激活这个功能不需要刻意降低音量都可以屏蔽前排的声觉原理上不难解释大家都很熟悉降噪耳机是咋做的如果能理解声音是一种波那么只要用反向的波就可以与之抵消在车内做降噪很常见但是为了给二三排提供足够隐私的空间这个隐私音盾真的非常不错每一个司机身上都有大把老板的秘密这句话大家都懂的吧知道太多古时候是要那什么的豪华的第二位我觉得是享受对每一个买商务MPV的车主来说功能主义先得拉满座椅冰箱不在话下但是009过分的的地方是什么呢伊姆斯躺椅作为人体工程学座椅的典范它本身是最受热捧的躺平之法009学习了这个作品给了一个132度腰背的调节角度90度的腿拖调节角度而且相当的中国这脚托可以加热啊联想到009光辉版的热石按摩你会思考009到底想干什么真的下一次它说它搞一个桑拿房给你我不会觉得意外第三个特征是纯电的极致有一个车主讲了一件事我觉得挺有意思的我想要操控但我又要MPV你们觉得很奇怪但我就是这种奇怪的结合体极氪009目前的零百加速原本45秒已经很了不得了现在进一步提升到39秒了你能想象这是一台MPV它也是事实上3秒俱乐部里唯一的一台MPV百公里加速在讲究舒适性的MPV里看起来没有什么必要这种认知可能是错的对于那个人群来说时间比金钱更为宝贵赶飞机赶会议接待商务伙伴加速能力本身和超速没有必然联系但是它可以大幅度地提升你在车流里的平均车速而且本质上009的舒适性也没有什么问题魔毯这件事嘛CCD电磁减震双腔空悬基本上是这个时期的天花板了遇到减速带如履平地这种事你还想要怎么样呢纯电的另一个极致是140度大电池5C140度带来的是900公里的续航已经大幅度超过燃油时代的体验了燃油车实际上常见的水准也就500800公里而5C的充电倍率下SOC从10拉到80也就115分钟而已峰值560KW是目前全球的最高值另一台讲究5C的MPV已经折戟沉沙了如果没有放在此时此刻一定也会被极氪009打下来因为009目前的入门价格已经下沉到439W了这还不算权益这个价格有意思的在什么地方呢我们都知道同级别的车型轿车低于SUVSUV低于MPV极氪009把豪华级MPV锚定在这个位置某种意义上锚定了自主产品在一定时段里的价格天花板实际上也是产品力的天花板而到了这个份上你就能意识到一个新的圈层正在诞生,2
操控性好开着还不错适合一个人开家庭用车的话不太方便太小了后排空间狗头窗特别是,0
动力方面15手动挡舍得给油动力还是很不错的空间表现5座车后尾箱空间还是很大的后排座椅放倒可以装很多东西动力表现15的6档手动大油门动力还是很不错的驾驶感受方向盘液压助力开起来和开小轿车没什么区别6档开80码2000转左右应该是最省油的高速跑过一趟南京600公里跑高速60码往上提速有点慢也可以跑120130码就是风噪有点大再跑快车就有点飘跑100码还是很稳的加满一箱油从南京跑回家600公里刚好油表亮灯车子总体开起来说个人感觉还是很不错的,2
昨天是提车的第3天用慢充充满电早上7点多出门跑滴滴晚上2230分回来一天下来速度4080码上车打开空调2挡风25度回来电量还剩下百分之九空调受限行驶了410估计440公里好跑春秋天不开空调480左右应该没问题开始买星光最担心就是电池包小其他品牌上500的续航都是5862度电现在几天体验下来很是喜欢有时候原地开空调风扇声音很大不知道其他车主有没有遇到同样问题94号苏州回徐州满电测试一下高速续航车子空间很大外观设计漂亮动力很猛配置还行,2
传祺M8全系20T带22吨的车重动力充沛再加上影子车手油门灵敏度调节方向盘轻重和三档驾驶方式可调这些组合拳打下来总有适合你的驾驶方式8155的芯片智能座仓透明底盘L2级别辅助驾驶360全景影像各种科技的加持下给人非常愉悦的驾乘感受油门跟脚指那打那超车提速响应快不过开起来有一点刹车的行程有点长空间表现内部空间非常不错无感空调是加分项二排正常坐姿的情况下170CM身高内非肥胖的身材在第三排也有很好的舒展空间这点得益于52米几的车长24款M8新大师终上所述是一台值得推荐的家用车型安全性能高外观颜值在线乘驾感也非常不错缺点是油耗偏高,2
偶尔开开都能接受空间小操控好整车感觉比较重敞篷需要停车才能关保时捷没有一键关蓬需要一直按住挺麻烦,0
